date,fajar _start,fajar,zuhr_start,zuhr,asar_start,asar,maghrib_start,  maghrib,isha_start ,isha,sun_rise,chaast,zawal,jummua,ijtimah
11/2/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,1:30:00,13:30:00,22:10:00,19:00:00,15:30:00
12/2/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,2:30:00,14:30:00,23:10:00,20:00:00,16:30:00
13/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,3:30:00,15:30:00,0:10:00,21:00:00,17:30:00
14/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,4:30:00,16:30:00,1:10:00,22:00:00,18:30:00
15/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,5:30:00,17:30:00,2:10:00,23:00:00,19:30:00
16/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,6:30:00,18:30:00,3:10:00,0:00:00,20:30:00
17/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,7:30:00,19:30:00,4:10:00,1:00:00,21:30:00
18/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,8:30:00,20:30:00,5:10:00,2:00:00,22:30:00
19/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,9:30:00,21:30:00,6:10:00,3:00:00,23:30:00
20/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,10:30:00,22:30:00,7:10:00,4:00:00,0:30:00
21/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,11:30:00,23:30:00,8:10:00,5:00:00,1:30:00
22/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,12:30:00,0:30:00,9:10:00,6:00:00,2:30:00
23/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,13:30:00,1:30:00,10:10:00,7:00:00,3:30:00
24/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,14:30:00,2:30:00,11:10:00,8:00:00,4:30:00
25/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,15:30:00,3:30:00,12:10:00,9:00:00,5:30:00
26/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,16:30:00,4:30:00,13:10:00,10:00:00,6:30:00
27/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,17:30:00,5:30:00,14:10:00,11:00:00,7:30:00
28/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,18:30:00,6:30:00,15:10:00,12:00:00,8:30:00
29/02/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00,19:30:00,7:30:00,16:10:00,13:00:00,9:30:00
